profile,origin,days,seed,completed_days,skipped_days,return_count,recovery_days,burnout,action_concentration,ending_band,xp,material
overload,potential,90,2,76,14,11,17,73.11,0.184,returning,2964.8,272.0
optimizer,potential,90,2,88,2,2,12,9.4,0.193,sustainable,2682.24,264.0
low_energy,potential,90,2,36,54,23,13,0,0.25,returning,329.76,36.0
adversarial,potential,90,2,68,22,18,23,74.69,0.232,returning,3441.0,310.0
perfect,return,90,2,90,0,0,12,4.87,0.2,sustainable,1800.0,180.0
cautious,return,90,2,53,37,21,10,0,0.208,returning,496.08,53.0
balanced,return,90,2,64,26,17,7,3.13,0.219,returning,1254.4,128.0
chaotic,return,90,2,39,51,22,5,2.61,0.197,returning,1212.12,117.0
high_skip,return,90,2,24,66,14,4,0,0.25,returning,226.56,24.0
returning,return,90,2,52,38,21,7,0,0.183,returning,1002.56,104.0
overload,return,90,2,79,11,11,19,71.47,0.186,returning,3106.5,285.0
optimizer,return,90,2,83,7,6,11,12.83,0.193,sustainable,2529.84,249.0
low_energy,return,90,2,45,45,20,17,0,0.244,returning,412.2,45.0
adversarial,return,90,2,60,30,17,18,75.72,0.215,returning,3096.9,279.0
perfect,lost,180,2,178,2,2,25,4.06,0.228,sustainable,3560.0,356.0
cautious,lost,180,2,114,66,39,16,0,0.263,returning,1067.04,114.0
balanced,lost,180,2,142,38,33,20,2.61,0.18,sustainable,2783.2,284.0
chaotic,lost,180,2,88,92,44,14,0,0.193,sustainable,2735.04,264.0
high_skip,lost,180,2,47,133,39,9,0,0.298,returning,443.68,47.0
returning,lost,180,2,106,74,37,14,1.45,0.208,sustainable,2043.68,212.0
overload,lost,180,2,156,24,18,42,73.55,0.177,returning,6027.7,553.0
optimizer,lost,180,2,169,11,11,24,7.83,0.195,integrated,5151.12,507.0
low_energy,lost,180,2,80,100,52,33,0,0.212,returning,732.8,80.0
adversarial,lost,180,2,127,53,35,47,71.04,0.19,returning,6471.3,583.0
perfect,burnout,180,2,178,2,2,25,4.06,0.185,sustainable,3560.0,356.0
cautious,burnout,180,2,110,70,40,14,0,0.191,returning,1029.6,110.0
balanced,burnout,180,2,143,37,32,23,0,0.189,sustainable,2802.8,286.0
chaotic,burnout,180,2,96,84,42,14,8.0,0.188,sustainable,2983.68,288.0
high_skip,burnout,180,2,45,135,32,6,0,0.222,returning,424.8,45.0
returning,burnout,180,2,107,73,48,18,0,0.224,returning,2062.96,214.0
overload,burnout,180,2,159,21,20,43,74.03,0.189,returning,6005.9,551.0
optimizer,burnout,180,2,167,13,13,25,4.06,0.198,integrated,5090.16,501.0
low_energy,burnout,180,2,83,97,44,28,0,0.241,returning,760.28,83.0
adversarial,burnout,180,2,129,51,44,48,73.85,0.191,returning,6493.5,585.0
perfect,potential,180,2,178,2,2,25,4.06,0.194,integrated,3560.0,356.0
cautious,potential,180,2,112,68,37,14,0,0.214,returning,1048.32,112.0
balanced,potential,180,2,131,49,40,18,2.61,0.179,sustainable,2567.6,262.0
chaotic,potential,180,2,82,98,43,14,2.0,0.203,sustainable,2548.56,246.0
high_skip,potential,180,2,35,145,28,5,0,0.314,returning,330.4,35.0
returning,potential,180,2,99,81,40,14,0,0.212,sustainable,1908.72,198.0
overload,potential,180,2,148,32,31,38,75.6,0.185,returning,5777.0,530.0
optimizer,potential,180,2,170,10,10,24,7.83,0.196,integrated,5181.6,510.0
low_energy,potential,180,2,95,85,42,36,0,0.232,returning,870.2,95.0
adversarial,potential,180,2,139,41,30,55,75.63,0.183,returning,7081.8,638.0
perfect,return,180,2,179,1,1,25,4.06,0.198,integrated,3580.0,358.0
cautious,return,180,2,116,64,42,16,0,0.19,returning,1085.76,116.0
balanced,return,180,2,145,35,27,19,2.61,0.183,sustainable,2842.0,290.0
chaotic,return,180,2,83,97,37,9,0,0.193,sustainable,2579.64,249.0
high_skip,return,180,2,48,132,37,4,0,0.271,returning,453.12,48.0
returning,return,180,2,102,78,43,18,0,0.206,sustainable,1966.56,204.0
